Cascais,Monte Estoril,Estoril,S. João,S. Pedro,Parede,Carcavelos,Oeiras,Santo Amaro,Paço de Arcos,Caxias,Cruz Quebrada,Algés,Belém,Alcântara,Santos,Cais do Sodré
,,,,,,,20:58,21:00,21:03,21:05,21:08,21:11,21:14,21:17,21:20,21:22
21:00,21:02,21:04,21:06,21:08,21:11,21:13,21:16,21:18,21:21,21:23,21:26,21:29,21:32,21:35,21:38,21:40
21:30,21:32,21:34,21:36,21:38,21:41,21:43,21:46,21:48,21:51,21:53,21:56,21:59,22:02,22:05,22:08,22:10
22:00,22:02,22:04,22:06,22:08,22:11,22:13,22:16,22:18,22:21,22:23,22:26,22:29,22:32,22:35,22:38,22:40
22:30,22:32,22:34,22:36,22:38,22:41,22:43,22:46,22:48,22:51,22:53,22:56,22:59,23:02,23:05,23:08,23:10
23:00,23:02,23:04,23:06,23:08,23:11,23:13,23:16,23:18,23:21,23:23,23:26,23:29,23:32,23:35,23:38,23:40
23:30,23:32,23:34,23:36,23:38,23:41,23:43,23:46,23:48,23:51,23:53,23:56,23:59,00:02,00:05,00:08,00:10
00:00,00:02,00:04,00:06,00:08,00:11,00:13,00:16,00:18,00:21,00:23,00:26,00:29,00:32,00:35,00:38,00:40
00:30,00:32,00:34,00:36,00:38,00:41,00:43,00:46,00:48,00:51,00:53,00:56,00:59,01:02,01:05,01:08,01:10
01:00,01:02,01:04,01:06,01:08,01:11,01:13,01:16,01:18,01:21,01:23,01:26,01:29,01:32,01:35,01:38,01:40
01:30,01:32,01:34,01:36,01:38,01:41,01:43,01:46,01:48,01:51,01:53,01:56,01:59,02:02,02:05,02:08,02:10
